success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,STUDY_ID,PROLIFIC_PID,SESSION_ID,bonus,nickname,rt,url,set_size,change,addition,RT,response,jitter,correct_response,test_part,correct,stimulus,key_press,responses
,p5cd_ad,18,117486,0.0-6.0-1.0-0.3,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,9.0,1.0,0.0,2383.1995047803503,f,298.0954952072352,j,test,0.0,,,
,p5cd_ad,19,119667,0.0-6.0-1.0-0.4,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,7.0,0.0,0.0,1671.1373002035543,j,1.592699787579476,f,test,0.0,,,
,p5cd_ad,20,123996,0.0-6.0-1.0-0.5,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,11.0,0.0,1.0,3486.5083829208743,j,330.09161707013845,f,test,0.0,,,
,p5cd_ad,21,127710,0.0-6.0-1.0-0.6,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,11.0,1.0,0.0,2958.8619341957383,f,247.43806582409889,j,test,0.0,,,
,p5cd_ad,22,131939,0.0-6.0-1.0-0.7,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,1.0,0.0,1.0,3352.5375006429385,f,366.18749937042594,f,test,1.0,,,
,p5cd_ad,23,136552,0.0-6.0-1.0-0.8,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,3.0,1.0,1.0,3805.2572437154595,j,300.6727562751621,j,test,1.0,,,
,p5cd_ad,24,139798,0.0-6.0-1.0-0.9,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,5.0,1.0,1.0,2308.8174780423287,j,424.66752196196467,j,test,1.0,,,
,p5cd_ad,25,143313,0.0-6.0-1.0-0.10,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,5.0,1.0,0.0,2719.9786615383346,f,278.53633847553283,j,test,0.0,,,
,p5cd_ad,26,146759,0.0-6.0-1.0-0.11,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,1.0,0.0,0.0,2584.4629027415067,f,344.24709726590663,f,test,1.0,,,
,p5cd_ad,27,152920,0.0-6.0-1.0-0.12,f078aa2862041786868ef9f2ad23336df49386eb98fe8259951830bdf7c3dbfd,5c483772ec38be0001b1a482,"[184, 68, 253, 230, 240, 251, 128, 72, 182, 226, 158, 27, 69, 200, 163, 115, 65, 79, 246, 6, 127, 148, 126, 187, 17, 188, 42, 59, 108, 89, 207, 202]",5f16fbd265c0910180e6bc92,5c483772ec38be0001b1a482,5f170f1427a1960008252279,0.31,POshdjc,,,11.0,0.0,0.0,5528.91425479902,f,126.0457452153787,f,test,1.0,,,
