session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5ff72314d0b28534dfbf687b,5ea0b332440c6a0a2b78b2df,APPROVED,2021-01-07 15:07:22.732000,2021-01-07 15:29:07.022000,1304.29,74,214,0,100,2021-01-07 15:42:57.937000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,No,Yes
5ff723196ffd92354b969a83,5b661bc3259daf00019369f2,APPROVED,2021-01-07 15:05:27.651000,2021-01-07 16:02:53.811000,3446.16,54,233,0,100,2021-01-07 16:09:52.943000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff7231aaee4a33471ec0e69,5f566443352f600826449f4b,APPROVED,2021-01-07 15:04:57.994000,2021-01-07 15:25:24.525000,1226.531,48,92,0,100,2021-01-07 15:43:06.551000,4422804F,Ireland,Ireland,Full-Time,DATA EXPIRED,English,Ireland,Female,No,Yes
5ff7231a2da88b350fde3f44,5fc433cb12bc593aed6d7657,APPROVED,2021-01-07 15:04:58.867000,2021-01-07 15:29:27.093000,1468.226,35,44,0,100,2021-01-07 15:43:02.725000,4422804F,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5ff72360dc119f34acc1b3c6,5d6faf4650d907001a97516d,APPROVED,2021-01-07 15:06:12.600000,2021-01-07 15:17:29.392000,676.792,47,217,1,100,2021-01-07 15:43:10.733000,4422804F,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No,Yes
5ff723d26ccb55352db485c3,5fadb6740b48bd1a46d2373c,APPROVED,2021-01-07 15:08:09.275000,2021-01-07 15:15:33.338000,444.063,22,92,0,100,2021-01-07 15:43:15.635000,4422804F,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United States,Female,Yes,Yes
5ff725b86345d73351d10d82,5f3ec93efbd299158253f283,APPROVED,2021-01-07 15:16:15.851000,2021-01-07 15:31:04.407000,888.556,48,111,0,100,2021-01-07 15:43:19.622000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Male,No,Yes
5ff726153fabda35d9205c43,5f685b659cdca3493cea939d,APPROVED,2021-01-07 15:17:55.006000,2021-01-07 15:32:34.477000,879.471,31,234,1,100,2021-01-07 15:43:23.363000,4422804F,United States,United States,DATA EXPIRED,DATA EXPIRED,English,United States,Male,No,Yes
5ff7277cdfb1e63644437bc9,5fd730c9b78cf86c302f55ed,RETURNED,2021-01-07 15:23:43.037000,,85241.519196,28,18,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff727e051c2ff3579af36e5,5e97012e6074fb190b2e4475,APPROVED,2021-01-07 15:25:22.634000,2021-01-07 15:43:20.395000,1077.761,49,201,5,98,2021-01-07 16:09:58.836000,4422804F,United Kingdom,United Kingdom,Part-Time,English,,United Kingdom,Female,Yes,Yes
5ff72c62c044db366c7ef9b3,5eb8c284ab41e18278ccf247,RETURNED,2021-01-07 15:45:00.696000,,83964.101662,32,204,5,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff72c632e30bf373d900c1c,5d691ef690cade0016695e4a,APPROVED,2021-01-07 15:44:48.938000,2021-01-07 15:58:33.104000,824.166,34,304,1,100,2021-01-07 16:10:02.957000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5ff72c662e30bf373d900c1d,58ff68a15b40770001f298d8,RETURNED,2021-01-07 15:44:44.103000,,83980.931087,40,952,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff72c67864f673648cabb37,5f6b4c725dc43c0114f2935b,APPROVED,2021-01-07 15:44:41.949000,2021-01-07 15:56:21.851000,699.902,29,66,0,100,2021-01-07 16:10:07.330000,4422804F,United Kingdom,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,English,United Kingdom,Male,No,Yes
5ff72c68c0a78535f9219671,5fc0213b5c4bc346ffd07ec9,APPROVED,2021-01-07 15:44:44.365000,2021-01-07 15:57:10.831000,746.466,52,34,0,100,2021-01-07 16:10:11.131000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",,English,United Kingdom,Male,Yes,Yes
5ff72c6b0d726a3682a26bd2,5fac4dc60d67201ffe756ca1,APPROVED,2021-01-07 15:44:43.829000,2021-01-07 16:00:30,946.171,59,39,0,100,2021-01-07 16:10:14.617000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,United Kingdom,Female,No,Yes
5ff72c6d584ecf35c8cf3e1a,5f32bc368853aa03df112fc6,APPROVED,2021-01-07 15:45:13.080000,2021-01-07 16:04:41.322000,1168.242,21,160,0,100,2021-01-07 16:10:22.509000,4422804F,United States,United States,Unemployed (and job seeking),DATA EXPIRED,English,United States,Female,Yes,Yes
5ff72c6d4c5da636c3b43290,5efdacada352be1fbec58a03,APPROVED,2021-01-07 15:48:06.809000,2021-01-07 15:57:04.656000,537.847,24,149,1,100,2021-01-07 16:10:18.454000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5ff72c6e1e00ca35bbfc8ca8,5f858542d133000360a7fef8,APPROVED,2021-01-07 15:44:46.335000,2021-01-07 15:53:29.834000,523.499,25,67,0,100,2021-01-07 16:10:26.714000,4422804F,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Male,No,Yes
5ff72c6ea8025236ba656da4,5f50468c0868af1baaec306c,APPROVED,2021-01-07 15:44:46.740000,2021-01-07 15:57:20.522000,753.782,23,271,0,100,2021-01-07 16:10:30.772000,4422804F,United States,United States,Full-Time,DATA EXPIRED,English,United States,Female,No,Yes
5ff72c6ff048213685f5ccf3,5f7f16eb45861703806170e6,APPROVED,2021-01-07 15:45:08.594000,2021-01-07 15:57:57.446000,768.852,28,56,0,100,2021-01-07 16:10:35.550000,4422804F,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5ff72cc3461d9936605bc0d8,5a9ea9fe1ade740001b92063,APPROVED,2021-01-07 15:46:34.558000,2021-01-07 16:05:32.580000,1138.022,47,349,0,100,2021-01-07 16:10:39.137000,4422804F,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,United Kingdom,Female,No,Yes
5ff72d5badf29f3716f4bc6f,5e2e147d047efa000c6b833d,APPROVED,2021-01-07 15:48:43.672000,2021-01-07 16:00:25.572000,701.9,,280,0,100,2021-01-07 16:10:44.310000,4422804F,Canada,Canada,Full-Time,English,,Canada,Male,No,Yes
