,target,target_present,set_size,response,search_time,correct
430,Q,0,1,0,2,1
431,Q,0,1,0,3,1
432,Q,0,1,0,5,1
433,Q,0,1,0,3,1
434,Q,0,1,0,2,1
435,Q,0,1,0,2,1
436,Q,0,1,1,5,0
437,Q,0,1,0,3,1
438,Q,0,1,0,3,1
439,Q,0,1,0,2,1
440,Q,0,1,0,3,1
441,Q,0,1,1,2,0
442,Q,0,1,0,4,1
443,Q,0,1,0,2,1
444,Q,0,1,0,2,1
445,Q,0,1,0,5,1
446,Q,0,1,0,2,1
447,Q,0,1,0,5,1
448,Q,0,1,0,4,1
449,Q,0,1,0,3,1
450,Q,0,1,0,2,1
451,Q,0,1,0,4,1
452,Q,0,1,0,3,1
453,Q,0,1,0,2,1
454,Q,0,1,0,2,1
455,Q,0,1,0,5,1
456,Q,0,1,1,3,0
457,Q,0,1,1,4,0
458,Q,0,1,0,2,1
459,Q,0,1,0,3,1
460,Q,0,1,0,2,1
461,Q,0,1,1,2,0
462,Q,0,1,0,2,1
463,Q,0,1,0,3,1
464,Q,0,1,0,3,1
465,Q,0,1,0,4,1
466,Q,0,1,0,4,1
467,Q,0,1,0,3,1
468,Q,0,1,0,10,1
469,Q,0,1,1,2,0
470,Q,0,1,0,3,1
471,Q,0,1,0,5,1
472,Q,0,1,0,3,1
473,Q,0,1,0,2,1
474,Q,0,1,1,3,0
475,Q,0,1,0,4,1
476,Q,0,1,0,3,1
477,Q,0,1,0,2,1
478,Q,0,1,1,2,0
479,Q,0,1,0,3,1
480,Q,0,1,0,4,1
481,Q,0,1,0,2,1
482,Q,0,1,0,2,1
483,Q,0,1,0,2,1
484,Q,0,1,0,5,1
485,Q,0,1,0,4,1
486,Q,0,1,0,5,1
487,Q,0,1,0,6,1
488,Q,0,1,0,2,1
489,Q,0,1,0,2,1
490,Q,0,1,0,4,1
491,Q,0,1,0,2,1
492,Q,0,1,1,5,0
493,Q,0,1,0,2,1
494,Q,0,1,0,2,1
495,Q,0,1,1,2,0
496,Q,0,1,0,2,1
497,Q,0,1,1,2,0
498,Q,0,1,1,2,0
499,Q,0,1,0,4,1
500,Q,0,1,0,2,1
501,Q,0,1,0,2,1
502,Q,0,1,0,5,1
503,Q,0,1,0,2,1
504,Q,0,1,0,5,1
505,Q,0,1,1,5,0
506,Q,0,1,0,2,1
507,Q,0,1,0,4,1
508,Q,0,1,0,2,1
509,Q,0,1,0,2,1
510,Q,0,1,0,3,1
511,Q,0,1,0,3,1
512,Q,0,1,0,3,1
513,Q,0,1,0,3,1
514,Q,0,1,0,3,1
515,Q,0,1,0,2,1
516,Q,0,1,0,4,1
517,Q,0,1,0,2,1
518,Q,0,1,0,3,1
519,Q,0,1,0,2,1
520,Q,0,1,1,3,0
521,Q,0,1,0,2,1
522,Q,0,1,0,2,1
523,Q,0,1,0,3,1
524,Q,0,1,0,2,1
525,Q,0,1,0,4,1
526,Q,0,1,0,3,1
527,Q,0,1,0,2,1
528,Q,0,1,0,3,1
529,Q,0,1,0,3,1
530,Q,0,1,0,4,1
531,Q,0,1,0,3,1
532,Q,0,1,0,4,1
533,Q,0,1,0,2,1
534,Q,0,1,0,2,1
535,Q,0,1,0,3,1
